"NUMERO_RUC","RAZON_SOCIAL","NOMBRE_COMERCIAL","ESTADO_CONTRIBUYENTE","CLASE_CONTRIBUYENTE","FECHA_INICIO_ACTIVIDADES","FECHA_ACTUALIZACION","FECHA_SUSPENSION_DEFINITIVA","FECHA_REINICIO_ACTIVIDADES","OBLIGADO","TIPO_CONTRIBUYENTE","NUMERO_ESTABLECIMIENTO","NOMBRE_FANTASIA_COMERCIAL","CALLE","NUMERO","INTERSECCION","ESTADO_ESTABLECIMIENTO","DESCRIPCION_PROVINCIA","DESCRIPCION_CANTON","DESCRIPCION_PARROQUIA","CODIGO_CIIU","ACTIVIDAD_ECONOMICA","DIRECCION"
1460003710001,"DIRECCION DISTRITAL 14D03 - LOGROÑO - SUCUA - SALUD","","ACTIVO","ESPECIAL","04/06/1992","09/09/2019","","","S","SOCIEDADES",11.0,"HOSPITAL BASICO DE SUCUA","EDMUNDO CARVAJAL","SN","ALCIDES VINTIMILLA","ABI","MORONA SANTIAGO","SUCUA","SUCUA","Q861003","ACTIVIDADES A CORTO Y A LARGO PLAZO DE LOS HOSPITALES ESPECIALIZADOS, ES DECIR, ACTIVIDADES MÉDICAS, DE DIAGNÓSTICO Y DE TRATAMIENTO (HOSPITALES PARA ENFERMOS MENTALES, CENTROS DE REHABILITACIÓN, HOSPITALES PARA ENFERMEDADES INFECCIOSAS, DE MATERNIDAD, SANATORIOS ESPECIALIZADOS, ETCÉTERA).","EDMUNDO CARVAJAL SN ALCIDES VINTIMILLA, SUCUA, MORONA SANTIAGO"
1460003710001,"DIRECCION DISTRITAL 14D03 - LOGROÑO - SUCUA - SALUD","","ACTIVO","ESPECIAL","04/06/1992","09/09/2019","","","S","SOCIEDADES",1.0,"","EDMUNDO CARVAJAL","10001","ALCIDES VINTIMILLA","ABI","MORONA SANTIAGO","SUCUA","SUCUA","Q861003","ACTIVIDADES A CORTO Y A LARGO PLAZO DE LOS HOSPITALES ESPECIALIZADOS, ES DECIR, ACTIVIDADES MÉDICAS, DE DIAGNÓSTICO Y DE TRATAMIENTO (HOSPITALES PARA ENFERMOS MENTALES, CENTROS DE REHABILITACIÓN, HOSPITALES PARA ENFERMEDADES INFECCIOSAS, DE MATERNIDAD, SANATORIOS ESPECIALIZADOS, ETCÉTERA).","EDMUNDO CARVAJAL 10001 ALCIDES VINTIMILLA, SUCUA, MORONA SANTIAGO"
1460003710001,"DIRECCION DISTRITAL 14D03 - LOGROÑO - SUCUA - SALUD","","ACTIVO","ESPECIAL","04/06/1992","09/09/2019","","","S","SOCIEDADES",10.0,"PUESTO DE SALUD YUKUTEIS","","S/N","","ABI","MORONA SANTIAGO","SUCUA","HUAMBI","Q861003","ACTIVIDADES A CORTO Y A LARGO PLAZO DE LOS HOSPITALES ESPECIALIZADOS, ES DECIR, ACTIVIDADES MÉDICAS, DE DIAGNÓSTICO Y DE TRATAMIENTO (HOSPITALES PARA ENFERMOS MENTALES, CENTROS DE REHABILITACIÓN, HOSPITALES PARA ENFERMEDADES INFECCIOSAS, DE MATERNIDAD, SANATORIOS ESPECIALIZADOS, ETCÉTERA)."," S/N , SUCUA, MORONA SANTIAGO"
1460003710001,"DIRECCION DISTRITAL 14D03 - LOGROÑO - SUCUA - SALUD","","ACTIVO","ESPECIAL","04/06/1992","09/09/2019","","","S","SOCIEDADES",9.0,"CENTRO DE SALUD LOGROÑO","EDMUNDO CARVAJAL","S/N","","ABI","MORONA SANTIAGO","LOGROÑO","LOGROÑO","Q861003","ACTIVIDADES A CORTO Y A LARGO PLAZO DE LOS HOSPITALES ESPECIALIZADOS, ES DECIR, ACTIVIDADES MÉDICAS, DE DIAGNÓSTICO Y DE TRATAMIENTO (HOSPITALES PARA ENFERMOS MENTALES, CENTROS DE REHABILITACIÓN, HOSPITALES PARA ENFERMEDADES INFECCIOSAS, DE MATERNIDAD, SANATORIOS ESPECIALIZADOS, ETCÉTERA).","EDMUNDO CARVAJAL S/N , LOGROÑO, MORONA SANTIAGO"
1460003710001,"DIRECCION DISTRITAL 14D03 - LOGROÑO - SUCUA - SALUD","","ACTIVO","ESPECIAL","04/06/1992","09/09/2019","","","S","SOCIEDADES",8.0,"CENTRO DE SALUD HUAMBI","","S/N","","ABI","MORONA SANTIAGO","SUCUA","HUAMBI","Q861003","ACTIVIDADES A CORTO Y A LARGO PLAZO DE LOS HOSPITALES ESPECIALIZADOS, ES DECIR, ACTIVIDADES MÉDICAS, DE DIAGNÓSTICO Y DE TRATAMIENTO (HOSPITALES PARA ENFERMOS MENTALES, CENTROS DE REHABILITACIÓN, HOSPITALES PARA ENFERMEDADES INFECCIOSAS, DE MATERNIDAD, SANATORIOS ESPECIALIZADOS, ETCÉTERA)."," S/N , SUCUA, MORONA SANTIAGO"
1460003710001,"DIRECCION DISTRITAL 14D03 - LOGROÑO - SUCUA - SALUD","","ACTIVO","ESPECIAL","04/06/1992","09/09/2019","","","S","SOCIEDADES",7.0,"CENTRO DE SALUD YAUPI","","S/N","","ABI","MORONA SANTIAGO","LOGROÑO","YAUPI","Q861003","ACTIVIDADES A CORTO Y A LARGO PLAZO DE LOS HOSPITALES ESPECIALIZADOS, ES DECIR, ACTIVIDADES MÉDICAS, DE DIAGNÓSTICO Y DE TRATAMIENTO (HOSPITALES PARA ENFERMOS MENTALES, CENTROS DE REHABILITACIÓN, HOSPITALES PARA ENFERMEDADES INFECCIOSAS, DE MATERNIDAD, SANATORIOS ESPECIALIZADOS, ETCÉTERA)."," S/N , LOGROÑO, MORONA SANTIAGO"
1460003710001,"DIRECCION DISTRITAL 14D03 - LOGROÑO - SUCUA - SALUD","","ACTIVO","ESPECIAL","04/06/1992","09/09/2019","","","S","SOCIEDADES",6.0,"PUESTO DE SALUD SHIMPIS","","S/N","","ABI","MORONA SANTIAGO","LOGROÑO","SHIMPIS","Q861003","ACTIVIDADES A CORTO Y A LARGO PLAZO DE LOS HOSPITALES ESPECIALIZADOS, ES DECIR, ACTIVIDADES MÉDICAS, DE DIAGNÓSTICO Y DE TRATAMIENTO (HOSPITALES PARA ENFERMOS MENTALES, CENTROS DE REHABILITACIÓN, HOSPITALES PARA ENFERMEDADES INFECCIOSAS, DE MATERNIDAD, SANATORIOS ESPECIALIZADOS, ETCÉTERA)."," S/N , LOGROÑO, MORONA SANTIAGO"
1460003710001,"DIRECCION DISTRITAL 14D03 - LOGROÑO - SUCUA - SALUD","","ACTIVO","ESPECIAL","04/06/1992","09/09/2019","","","S","SOCIEDADES",5.0,"PUESTO DE SALUD YAAPI","","S/N","","ABI","MORONA SANTIAGO","LOGROÑO","YAUPI","Q861003","ACTIVIDADES A CORTO Y A LARGO PLAZO DE LOS HOSPITALES ESPECIALIZADOS, ES DECIR, ACTIVIDADES MÉDICAS, DE DIAGNÓSTICO Y DE TRATAMIENTO (HOSPITALES PARA ENFERMOS MENTALES, CENTROS DE REHABILITACIÓN, HOSPITALES PARA ENFERMEDADES INFECCIOSAS, DE MATERNIDAD, SANATORIOS ESPECIALIZADOS, ETCÉTERA)."," S/N , LOGROÑO, MORONA SANTIAGO"
1460003710001,"DIRECCION DISTRITAL 14D03 - LOGROÑO - SUCUA - SALUD","","ACTIVO","ESPECIAL","04/06/1992","09/09/2019","","","S","SOCIEDADES",4.0,"CENTRO DE SALUD FEDERACION SHUAR","DOMINGO COMIN","S/N","DOCE DE FEBRERO","ABI","MORONA SANTIAGO","SUCUA","SUCUA","Q861003","ACTIVIDADES A CORTO Y A LARGO PLAZO DE LOS HOSPITALES ESPECIALIZADOS, ES DECIR, ACTIVIDADES MÉDICAS, DE DIAGNÓSTICO Y DE TRATAMIENTO (HOSPITALES PARA ENFERMOS MENTALES, CENTROS DE REHABILITACIÓN, HOSPITALES PARA ENFERMEDADES INFECCIOSAS, DE MATERNIDAD, SANATORIOS ESPECIALIZADOS, ETCÉTERA).","DOMINGO COMIN S/N DOCE DE FEBRERO, SUCUA, MORONA SANTIAGO"
1460003710001,"DIRECCION DISTRITAL 14D03 - LOGROÑO - SUCUA - SALUD","","ACTIVO","ESPECIAL","04/06/1992","09/09/2019","","","S","SOCIEDADES",3.0,"CENTRO DE SALUD INNFA SUCUA","EFREN ZUÑIGA","S/N","MARIA ABARCA","ABI","MORONA SANTIAGO","SUCUA","SUCUA","Q861003","ACTIVIDADES A CORTO Y A LARGO PLAZO DE LOS HOSPITALES ESPECIALIZADOS, ES DECIR, ACTIVIDADES MÉDICAS, DE DIAGNÓSTICO Y DE TRATAMIENTO (HOSPITALES PARA ENFERMOS MENTALES, CENTROS DE REHABILITACIÓN, HOSPITALES PARA ENFERMEDADES INFECCIOSAS, DE MATERNIDAD, SANATORIOS ESPECIALIZADOS, ETCÉTERA).","EFREN ZUÑIGA S/N MARIA ABARCA, SUCUA, MORONA SANTIAGO"
